"RefNum","agerange","age","job","marital","education","balance","housing","loan","month","duration","deposit","lead","product","qualified","contacted","won","loanvalue","NPS","day","duration_temp","duration_before","date","last_deposit"
"10023491","31-40",40,"retired","married","primary",-99,"yes","no","january",3,0,0,"no product",0,0,0,0,0,31,3,181,2019-01-31,1632
"10023492","41-60",44,"admin","married","secondary",-104,"yes","yes","february",3,7,0,"no product",0,0,0,0,0,28,3,172,2019-02-28,1604
"10023493","31-40",39,"management","single","tertiary",-96,"yes","no","march",5,3,0,"no product",0,0,0,0,0,31,5,296,2019-03-31,1573
"10023494","41-60",52,"entrepreneur","married","secondary",-98,"yes","yes","april",2,6,0,"no product",0,0,0,0,0,30,2,127,2019-04-30,1543
"10023495","41-60",46,"management","single","secondary",-102,"yes","no","may",4,8,0,"no product",0,0,0,0,0,31,4,255,2019-05-31,1512
"10023496","31-40",36,"technician","single","secondary",-96,"yes","no","june",6,11,1,"mortgage",1,0,0,4357,0,30,6,348,2019-06-30,1482
"10023497","41-60",57,"technician","married","secondary",-88,"no","yes","july",4,13,1,"mortgage",1,0,0,6895,0,31,4,225,2019-07-31,1451
"10023498","41-60",49,"management","married","tertiary",-94,"yes","yes","august",4,2,1,"mortgage",1,0,0,7632,0,31,4,230,2019-08-31,1420
"10023499","41-60",60,"admin","married","secondary",-99,"yes","yes","september",3,0,1,"mortgage",1,0,0,9753,0,30,3,208,2019-09-30,1390
"10023500","41-60",59,"blue-collar","married","secondary",-99,"yes","yes","october",4,0,1,"mortgage",1,0,0,2257,0,31,4,226,2019-10-31,1359
"10023501","41-60",51,"management","married","tertiary",39,"yes","yes","november",6,19,1,"mortgage",1,1,0,12353,0,30,6,336,2019-11-30,1329
"10023502","41-60",57,"technician","divorced","secondary",-98,"yes","no","december",4,7,1,"mortgage",1,1,0,2356,0,31,4,242,2019-12-31,1298
"10023503","18-30",25,"blue-collar","married","secondary",-99,"yes","no","january",6,7,1,"mortgage",1,1,0,7654,0,31,6,365,2019-01-31,1632
"10023504","41-60",53,"technician","married","secondary",-99,"no","yes","february",4.50311665182547,7,1,"mortgage",1,1,0,7854,0,28,28,1666,2019-02-28,1604
"10023505","31-40",36,"admin","divorced","secondary",-93,"yes","no","march",10,0,1,"unsecured ",1,1,0,2458,0,31,10,577,2019-03-31,1573
"10023506","31-40",37,"admin","single","secondary",-99,"yes","no","april",2,0,1,"unsecured ",1,1,0,2893,0,30,2,137,2019-04-30,1543
"10023507","41-60",44,"services","divorced","secondary",-65,"yes","no","may",3,8,1,"unsecured ",1,1,0,2476,0,31,3,160,2019-05-31,1512
"10023508","41-60",50,"management","married","secondary",-99,"yes","yes","june",3,1,1,"unsecured ",1,1,0,4384,0,30,3,180,2019-06-30,1482
"10023509","41-60",60,"blue-collar","married","primary",-98,"yes","yes","july",0,5,1,"unsecured ",1,1,0,4080,0,31,0,22,2019-07-31,1451
"10023510","41-60",54,"retired","married","secondary",-92,"yes","yes","august",4.50311665182547,5,1,"unsecured ",0,1,0,2127,0,31,25,1492,2019-08-31,1420
"10023511","41-60",58,"retired","married","primary",-98,"yes","yes","september",10,7,1,"unsecured ",0,1,0,2586,0,30,10,616,2019-09-30,1390
"10023512","31-40",36,"admin","single","primary",-102,"yes","no","october",4,7,1,"unsecured ",0,1,0,6530,0,31,4,242,2019-10-31,1359
"10023513","41-60",58,"self-employed","married","tertiary",-104,"yes","yes","november",6,4,1,"unsecured ",0,1,0,2476,0,30,6,355,2019-11-30,1329
"10023514","41-60",44,"technician","married","secondary",-99,"yes","yes","december",4,0,1,"unsecured ",0,1,0,4384,0,31,4,225,2019-12-31,1298
"10023515","41-60",55,"technician","divorced","secondary",-99,"no","no","january",3,0,1,"unsecured ",0,1,0,4080,0,31,3,160,2019-01-31,1632
"10023516","18-30",29,"management","single","tertiary",-99,"yes","no","february",6,0,1,"unsecured ",0,1,0,2127,0,28,6,363,2019-02-28,1604
"10023517","41-60",54,"blue-collar","married","secondary",-82,"yes","yes","march",4,7,1,"unsecured ",0,1,0,5699,0,31,4,266,2019-03-31,1573
"10023518","41-60",48,"management","divorced","tertiary",-102,"yes","yes","april",4,8,1,"auto ",1,1,0,3237,0,30,4,253,2019-04-30,1543
"10023519","31-40",32,"management","married","tertiary",-99,"yes","yes","may",3,0,1,"auto ",1,1,0,2558,0,31,3,179,2019-05-31,1512
"10023520","41-60",42,"admin","single","secondary",-100,"yes","no","june",4.50311665182547,7,1,"auto ",1,1,0,2298,0,30,13,787,2019-06-30,1482
"10023521","18-30",24,"technician","single","secondary",-101,"yes","no","july",2,7,1,"auto ",1,1,0,3397,0,31,2,145,2019-07-31,1451
"10023522","31-40",38,"entrepreneur","single","tertiary",-96,"no","no","august",3,7,1,"auto ",1,1,0,2106,0,31,3,174,2019-08-31,1420
"10023523","31-40",38,"management","single","tertiary",-94,"yes","no","september",2,8,1,"auto ",1,1,0,2586,0,30,2,104,2019-09-30,1390
"10023524","41-60",47,"blue-collar","married","primary",-95,"yes","yes","october",0,1,1,"auto ",0,0,0,6530,0,31,0,13,2019-10-31,1359
"10023525","31-40",40,"blue-collar","single","primary",-99,"yes","no","november",3,1,1,"auto ",1,0,0,2476,0,30,3,185,2019-11-30,1329
"10023526","41-60",46,"services","married","primary",-97,"yes","yes","december",4.50311665182547,0,1,"auto ",1,0,0,4384,0,31,30,1778,2019-12-31,1298
"10023527","31-40",32,"admin","married","tertiary",-99,"yes","yes","january",2,0,1,"auto ",0,0,0,4080,0,31,2,138,2019-01-31,1632
"10023528","41-60",53,"technician","divorced","secondary",-86,"yes","no","february",4.50311665182547,11,1,"auto ",1,0,0,2127,0,28,14,812,2019-02-28,1604
"10023529","41-60",57,"blue-collar","married","primary",-96,"yes","yes","march",3,10,1,"auto ",1,0,0,5699,0,31,3,164,2019-03-31,1573
"10023530","31-40",33,"services","married","secondary",-89,"yes","no","april",7,8,1,"auto ",1,0,0,3237,0,30,7,391,2019-04-30,1543
"10023531","41-60",49,"blue-collar","married","primary",-97,"yes","yes","may",6,23,1,"auto ",1,0,0,2558,0,31,6,357,2019-05-31,1512
"10023532","41-60",51,"management","married","tertiary",-14,"yes","yes","june",2,18,1,"auto ",0,0,0,2298,0,30,2,91,2019-06-30,1482
"10023533","41-60",60,"retired","married","tertiary",-98,"no","yes","july",9,1,0,"no product",0,0,0,3397,0,31,9,528,2019-07-31,1451
"10023534","41-60",59,"management","divorced","tertiary",-98,"yes","yes","august",5,6,1,"auto ",1,0,0,2106,0,31,5,273,2019-08-31,1420
"10023535","41-60",55,"technician","married","secondary",-83,"yes","yes","september",3,89,1,"auto ",1,0,0,4080,0,30,3,158,2019-09-30,1390
"10023536","31-40",35,"blue-collar","single","secondary",60,"yes","no","october",3,199,0,"no product",0,0,0,2127,0,31,3,177,2019-10-31,1359
"10023537","41-60",57,"blue-collar","married","secondary",-21,"yes","yes","november",4,8,1,"mortgage",1,0,0,5699,0,30,4,258,2019-11-30,1329
"10023538","31-40",31,"services","married","secondary",-99,"yes","no","december",3,1,1,"mortgage",1,0,0,3237,0,31,3,172,2019-12-31,1298
"10023539","41-60",54,"management","married","secondary",-96,"yes","yes","january",3,1,1,"mortgage",1,0,0,2558,0,31,3,154,2019-01-31,1632
"10023540","41-60",55,"blue-collar","married","primary",-99,"yes","yes","february",5,4,1,"mortgage",1,0,0,2298,0,28,5,291,2019-02-28,1604
"10023541","41-60",43,"technician","married","secondary",-74,"yes","yes","march",3,20,0,"no product",0,0,0,3397,0,31,3,181,2019-03-31,1573
"10023542","41-60",53,"technician","married","secondary",-94,"yes","yes","april",3,11,0,"no product",0,0,0,2106,0,30,3,176,2019-04-30,1543
"10023543","41-60",44,"blue-collar","married","secondary",-92,"no","yes","may",4,5,1,"mortgage",1,0,0,8954,0,31,4,211,2019-05-31,1512
"10023544","41-60",55,"services","divorced","secondary",-98,"no","no","june",6,0,1,"mortgage",1,0,0,3678,0,30,6,349,2019-06-30,1482
"10023545","41-60",49,"services","divorced","secondary",-99,"yes","no","july",5,0,1,"mortgage",0,0,0,4853,0,31,5,272,2019-07-31,1451
"10023546","41-60",55,"services","divorced","secondary",-99,"yes","no","august",3,0,1,"mortgage",0,0,0,8675,0,31,3,208,2019-08-31,1420
"10023547","41-60",45,"admin","single","secondary",-97,"yes","no","september",3,4,1,"mortgage",0,0,0,9764,0,30,3,193,2019-09-30,1390
"10023548","41-60",47,"services","divorced","secondary",-97,"no","no","october",4,7,1,"mortgage",0,0,0,2457,0,31,4,212,2019-10-31,1359
"10023549","41-60",42,"technician","single","secondary",-90,"yes","no","november",0,29,1,"mortgage",0,0,0,3678,0,30,0,20,2019-11-30,1329
"10023550","41-60",59,"admin","married","secondary",-68,"yes","yes","december",4.50311665182547,13,1,"mortgage",1,0,0,9765,0,31,17,1042,2019-12-31,1298
"10023551","41-60",46,"self-employed","married","tertiary",-97,"yes","yes","january",4,3,1,"unsecured ",1,0,0,4080,0,31,4,246,2019-01-31,1632
"10023552","41-60",51,"blue-collar","married","primary",-97,"yes","yes","february",9,2,1,"unsecured ",1,0,0,2127,0,28,9,529,2019-02-28,1604
"10023553","41-60",56,"admin","married","secondary",-99,"no","yes","march",4.50311665182547,5,1,"unsecured ",1,1,0,5699,0,31,24,1467,2019-03-31,1573
"10023554","41-60",41,"technician","married","secondary",-83,"yes","yes","april",4.50311665182547,3,0,"no product",0,0,0,3237,0,30,23,1389,2019-04-30,1543
"10023555","41-60",46,"management","divorced","secondary",-99,"yes","no","may",3,2,0,"no product",0,0,0,2558,0,31,3,188,2019-05-31,1512
"10023556","41-60",57,"retired","married","secondary",-93,"yes","yes","june",3,3,0,"no product",0,0,0,0,0,30,3,180,2019-06-30,1482
"10023557","41-60",42,"management","single","secondary",-99,"no","no","july",1,2,0,"no product",0,0,0,0,0,31,1,48,2019-07-31,1451
"10023558","18-30",30,"technician","married","secondary",-97,"yes","no","august",4,4,0,"no product",0,0,0,0,0,31,4,213,2019-08-31,1420
"10023559","41-60",60,"admin","married","secondary",-95,"yes","yes","september",10,2,0,"no product",0,0,0,0,0,30,10,583,2019-09-30,1390
"10023560","41-60",60,"blue-collar","married","primary",-99,"yes","yes","october",4,7,0,"no product",0,0,0,0,0,31,4,221,2019-10-31,1359
"10023561","41-60",57,"entrepreneur","divorced","secondary",-100,"no","no","november",3,6,0,"no product",0,0,0,0,0,30,3,173,2019-11-30,1329
"10023562","31-40",36,"management","married","tertiary",-98,"yes","yes","december",7,4,0,"no product",0,0,0,0,0,31,7,426,2019-12-31,1298
"10023563","41-60",55,"blue-collar","married","secondary",-94,"no","yes","january",5,4,0,"no product",0,0,0,0,0,31,5,287,2019-01-31,1632
"10023564","41-60",60,"retired","married","tertiary",-98,"yes","yes","february",2,0,1,"mortgage",1,1,0,7543,0,28,2,101,2019-02-28,1604
"10023565","31-40",39,"technician","married","secondary",-99,"yes","no","march",3,0,1,"mortgage",0,1,0,6689,0,31,3,203,2019-03-31,1573
"10023566","41-60",46,"management","married","tertiary",-96,"yes","yes","april",3,8,1,"mortgage",1,1,0,4376,0,30,3,197,2019-04-30,1543
"10023567","41-60",44,"blue-collar","married","secondary",-108,"yes","yes","may",4,7,1,"mortgage",0,1,0,6895,0,31,4,257,2019-05-31,1512
"10023568","41-60",53,"blue-collar","married","primary",-98,"no","yes","june",2,2,1,"mortgage",1,1,0,7632,0,30,2,124,2019-06-30,1482
"10023569","41-60",52,"blue-collar","married","primary",-98,"yes","yes","july",4,3,1,"mortgage",1,1,0,9753,0,31,4,229,2019-07-31,1451
"10023570","41-60",59,"blue-collar","married","primary",-97,"yes","yes","august",1,0,1,"mortgage",1,1,0,2257,0,31,1,55,2019-08-31,1420
"10023571","18-30",27,"technician","single","tertiary",-99,"yes","no","september",7,0,0,"no product",0,0,0,12353,0,30,7,400,2019-09-30,1390
"10023572","41-60",44,"blue-collar","married","secondary",-99,"yes","yes","october",3,2,1,"auto ",1,1,0,2356,0,31,3,197,2019-10-31,1359
"10023573","41-60",47,"technician","married","tertiary",-97,"yes","yes","november",3,2,0,"no product",0,0,0,7654,0,30,3,190,2019-11-30,1329
"10023574","31-40",34,"admin","married","secondary",-98,"no","no","december",0,0,1,"auto ",1,1,0,7854,0,31,0,21,2019-12-31,1298
"10023575","41-60",59,"retired","single","secondary",-99,"yes","no","january",9,2,0,"no product",0,0,0,8954,0,31,9,514,2019-01-31,1632
"10023576","41-60",45,"management","married","tertiary",-92,"yes","yes","february",4.50311665182547,2,1,"auto ",1,0,0,3678,0,28,14,849,2019-02-28,1604
"10023577","18-30",29,"services","divorced","secondary",-99,"yes","no","march",3,1,0,"no product",0,0,0,4853,0,31,3,194,2019-03-31,1573
"10023578","41-60",46,"technician","divorced","secondary",-98,"no","no","april",2,7,1,"auto ",1,0,0,8675,0,30,2,144,2019-04-30,1543
"10023579","41-60",56,"self-employed","married","primary",-100,"yes","yes","may",4,4,0,"no product",0,0,0,9764,0,31,4,212,2019-05-31,1512
"10023580","31-40",36,"blue-collar","married","primary",-93,"yes","no","june",5,4,1,"auto ",1,0,0,2457,0,30,5,286,2019-06-30,1482
"10023581","41-60",59,"retired","divorced","primary",-98,"yes","no","july",2,2,0,"no product",0,0,0,3678,0,31,2,107,2019-07-31,1451
"10023582","41-60",44,"blue-collar","married","secondary",-97,"yes","yes","august",4,5,1,"auto ",1,0,0,9765,0,31,4,247,2019-08-31,1420
"10023583","41-60",41,"admin","married","secondary",-95,"yes","yes","september",9,7,1,"auto ",1,0,0,7543,0,30,9,518,2019-09-30,1390
"10023584","31-40",33,"management","single","tertiary",-100,"yes","no","october",6,8,1,"auto ",1,0,0,4080,0,31,6,364,2019-10-31,1359
"10023585","41-60",59,"management","divorced","tertiary",-96,"no","yes","november",3,0,1,"mortgage",0,0,0,2127,0,30,3,178,2019-11-30,1329
"10023586","41-60",57,"technician","married","primary",-99,"no","yes","december",2,0,1,"mortgage",1,0,0,5699,0,31,2,98,2019-12-31,1298
"10023587","41-60",56,"technician","divorced","primary",-99,"yes","no","january",7,0,1,"mortgage",1,0,0,3237,0,31,7,439,2019-01-31,1632
"10023588","41-60",51,"blue-collar","married","secondary",-99,"yes","yes","february",1,0,1,"mortgage",0,0,0,2558,0,28,1,79,2019-02-28,1604
"10023589","31-40",34,"admin","married","primary",-99,"yes","no","march",2,0,1,"mortgage",1,0,0,2298,0,31,2,120,2019-03-31,1573
"10023590","41-60",43,"services","married","secondary",-99,"yes","yes","april",2,0,1,"mortgage",1,0,0,3397,0,30,2,127,2019-04-30,1543
"10023591","41-60",52,"technician","married","tertiary",-99,"no","yes","may",3,0,1,"mortgage",1,0,0,2106,0,31,3,175,2019-05-31,1512
"10023592","31-40",33,"technician","single","secondary",-98,"yes","no","june",4,6,1,"mortgage",1,0,0,6895,0,30,4,262,2019-06-30,1482
"10023593","18-30",29,"admin","single","secondary",-89,"yes","no","july",1,7,1,"business",0,0,0,7632,0,31,1,61,2019-07-31,1451
"10023594","31-40",34,"services","married","secondary",-99,"yes","no","august",1,7,1,"business",0,0,0,9753,0,31,1,78,2019-08-31,1420
"10023595","31-40",31,"blue-collar","married","secondary",-99,"yes","no","september",2,0,1,"business",1,0,0,2257,0,30,2,143,2019-09-30,1390
"10023596","41-60",55,"services","married","secondary",-67,"yes","yes","october",10,39,1,"business",1,0,0,12353,0,31,10,579,2019-10-31,1359
"10023597","41-60",55,"management","married","tertiary",-84,"no","yes","november",11,11,1,"business",1,0,0,2356,0,30,11,677,2019-11-30,1329
"10023598","31-40",32,"admin","single","secondary",-96,"yes","no","december",6,14,1,"unsecured ",1,0,0,7654,0,31,6,345,2019-12-31,1298
"10023599","31-40",38,"technician","single","secondary",-77,"yes","no","january",3,27,1,"unsecured ",1,0,0,7854,0,31,3,185,2019-01-31,1632
"10023600","41-60",55,"admin","single","secondary",-89,"yes","no","february",2,0,1,"unsecured ",1,0,0,8954,0,28,2,100,2019-02-28,1604
"10023601","18-30",28,"unemployed","single","tertiary",-99,"yes","no","march",2,0,1,"unsecured ",1,0,0,3678,0,31,2,125,2019-03-31,1573
"10023602","18-30",23,"blue-collar","married","secondary",-98,"yes","no","april",3,0,1,"unsecured ",1,0,0,4853,0,30,3,193,2019-04-30,1543
"10023603","31-40",32,"technician","single","secondary",-99,"yes","no","may",2,0,1,"unsecured ",1,0,0,8675,0,31,2,136,2019-05-31,1512
"10023604","41-60",43,"services","single","primary",-99,"no","no","june",1,0,1,"unsecured ",1,0,0,9764,0,30,1,73,2019-06-30,1482
"10023605","31-40",32,"blue-collar","married","secondary",-92,"yes","no","july",9,8,1,"unsecured ",1,0,0,2457,0,31,9,528,2019-07-31,1451
"10023606","41-60",46,"blue-collar","married","secondary",-96,"yes","yes","august",9,11,1,"unsecured ",0,0,0,3678,0,31,9,541,2019-08-31,1420
"10023607","41-60",53,"housemaid","divorced","primary",-87,"yes","no","september",3,1,1,"unsecured ",0,0,0,9765,0,30,3,163,2019-09-30,1390
"10023608","31-40",34,"self-employed","single","secondary",-99,"yes","no","october",5,0,1,"unsecured ",0,0,0,7543,0,31,5,301,2019-10-31,1359
"10023609","41-60",57,"unemployed","married","tertiary",-99,"no","yes","november",1,0,1,"unsecured ",0,0,0,3521,0,30,1,46,2019-11-30,1329
"10023610","31-40",37,"blue-collar","married","secondary",-99,"yes","no","december",3,1,1,"auto ",0,0,0,2790,0,31,3,204,2019-12-31,1298
"10023611","41-60",59,"blue-collar","married","secondary",-99,"yes","yes","january",2,0,1,"auto ",0,0,0,2476,0,31,2,98,2019-01-31,1632
"10023612","31-40",33,"services","married","secondary",-99,"yes","no","february",1,0,1,"auto ",0,0,0,4384,0,28,1,71,2019-02-28,1604
"10023613","41-60",56,"blue-collar","divorced","primary",-99,"yes","no","march",3,1,1,"auto ",0,0,0,4080,0,31,3,157,2019-03-31,1573
"10023614","41-60",48,"unemployed","married","secondary",-95,"yes","yes","april",4,0,1,"mortgage",0,0,0,2127,0,30,4,243,2019-04-30,1543
"10023615","41-60",43,"services","married","primary",-99,"yes","yes","may",3,0,1,"mortgage",0,0,0,5699,0,31,3,186,2019-05-31,1512
"10023616","41-60",54,"blue-collar","married","primary",-95,"yes","yes","june",10,7,1,"mortgage",1,0,0,3237,0,30,10,579,2019-06-30,1482
"10023617","41-60",51,"blue-collar","married","primary",-100,"yes","yes","july",3,7,1,"mortgage",1,0,0,2558,0,31,3,163,2019-07-31,1451
"10023618","18-30",26,"student","single","secondary",-99,"yes","no","august",10,0,1,"mortgage",1,0,0,6895,0,31,10,610,2019-08-31,1420
"10023619","31-40",40,"management","married","tertiary",-99,"yes","yes","september",4.50311665182547,8,1,"mortgage",1,0,0,7632,0,30,34,2033,2019-09-30,1390
"10023620","31-40",39,"management","married","secondary",-99,"yes","no","october",1,1,1,"auto ",1,0,0,9753,0,31,1,85,2019-10-31,1359
"10023621","41-60",50,"technician","married","primary",-97,"no","yes","november",2,0,1,"auto ",1,0,0,2257,0,30,2,114,2019-11-30,1329
"10023622","41-60",41,"services","married","secondary",-99,"yes","yes","december",2,0,1,"auto ",1,0,0,12353,0,31,2,114,2019-12-31,1298
"10023623","41-60",51,"blue-collar","married","tertiary",-75,"yes","yes","january",1,14,1,"auto ",0,0,0,2356,0,31,1,57,2019-01-31,1632
"10023624","41-60",60,"retired","divorced","secondary",-96,"yes","no","february",4,9,1,"auto ",1,0,0,7654,0,28,4,238,2019-02-28,1604
"10023625","41-60",52,"blue-collar","married","secondary",-89,"yes","yes","march",2,19,1,"auto ",0,0,0,7854,0,31,2,93,2019-03-31,1573
"10023626","41-60",48,"blue-collar","married","secondary",-87,"yes","yes","april",2,28,1,"auto ",1,0,0,8954,0,30,2,128,2019-04-30,1543
"10023627","41-60",48,"services","married","tertiary",-77,"yes","yes","may",2,6,1,"auto ",0,0,0,3678,0,31,2,107,2019-05-31,1512
"10023628","31-40",39,"technician","single","tertiary",-99,"yes","no","june",3,2,1,"unsecured ",1,0,0,4853,0,30,3,181,2019-06-30,1482
"10023629","41-60",47,"services","single","secondary",-97,"yes","no","july",5,10,1,"unsecured ",0,0,0,8675,0,31,5,303,2019-07-31,1451
"10023630","31-40",40,"blue-collar","married","secondary",-83,"yes","no","august",9,7,1,"unsecured ",1,0,0,9764,0,31,9,558,2019-08-31,1420
"10023631","41-60",45,"technician","married","secondary",-98,"yes","yes","september",4,1,1,"unsecured ",0,0,0,2457,0,30,4,270,2019-09-30,1390
"10023632","18-30",26,"admin","single","secondary",-98,"yes","no","october",4,3,1,"unsecured ",1,0,0,3678,0,31,4,228,2019-10-31,1359
"10023633","41-60",52,"management","married","tertiary",-96,"yes","yes","november",2,14,1,"mortgage",0,0,0,9765,0,30,2,99,2019-11-30,1329
"10023634","41-60",54,"technician","married","secondary",-81,"yes","yes","december",4,11,1,"mortgage",1,0,0,7543,0,31,4,240,2019-12-31,1298
"10023635","41-60",54,"admin","married","tertiary",-97,"no","yes","january",11,0,1,"mortgage",1,0,0,2106,0,31,11,673,2019-01-31,1632
"10023636","41-60",50,"blue-collar","married","primary",-99,"no","yes","february",4,0,1,"mortgage",1,0,0,6895,0,28,4,233,2019-02-28,1604
"10023637","31-40",35,"blue-collar","married","secondary",-99,"yes","no","march",4.50311665182547,0,1,"mortgage",1,0,0,7632,0,31,18,1056,2019-03-31,1573
"10023638","41-60",44,"services","married","secondary",-81,"yes","yes","april",4,3,1,"mortgage",1,0,0,9753,0,30,4,250,2019-04-30,1543
"10023639","41-60",53,"entrepreneur","married","primary",-99,"yes","yes","may",4,2,1,"unsecured ",1,0,0,2257,0,31,4,252,2019-05-31,1512
"10023640","31-40",35,"retired","single","primary",-94,"no","no","june",2,4,1,"unsecured ",1,0,0,12353,0,30,2,138,2019-06-30,1482
"10023641","41-60",60,"admin","divorced","secondary",-98,"yes","no","july",2,7,1,"unsecured ",1,0,0,2356,0,31,2,130,2019-07-31,1451
"10023642","41-60",53,"admin","divorced","secondary",-84,"yes","no","august",7,5,1,"unsecured ",1,0,0,7654,0,31,7,412,2019-08-31,1420
"10023643","41-60",48,"unemployed","married","secondary",-99,"yes","yes","september",3,1,1,"unsecured ",1,0,0,7854,0,30,3,179,2019-09-30,1390
"10023644","31-40",34,"technician","married","secondary",-99,"yes","no","october",0,2,1,"unsecured ",1,0,0,8954,0,31,0,19,2019-10-31,1359
"10023645","41-60",54,"services","married","secondary",-96,"yes","yes","november",8,11,1,"unsecured ",1,0,0,3678,0,30,8,458,2019-11-30,1329
"10023646","41-60",51,"management","married","secondary",-84,"yes","yes","december",12,4,1,"mortgage",1,0,0,4853,0,31,12,717,2019-12-31,1298
"10023647","31-40",31,"services","married","tertiary",-99,"yes","yes","january",5,3,1,"mortgage",1,0,0,8675,0,31,5,313,2019-01-31,1632
"10023648","31-40",35,"technician","divorced","secondary",-89,"yes","no","february",11,5,1,"mortgage",1,0,0,9764,0,28,11,683,2019-02-28,1604
"10023649","31-40",35,"services","married","secondary",-98,"yes","no","march",4.50311665182547,2,1,"mortgage",1,1,1,2457,10,31,18,1077,2019-03-31,1573
"10023650","31-40",38,"technician","married","secondary",-96,"yes","no","april",7,5,1,"mortgage",1,1,1,3678,10,30,7,416,2019-04-30,1543
"10023651","31-40",36,"admin","married","tertiary",-96,"yes","yes","may",2,5,1,"mortgage",1,1,1,9765,10,31,2,146,2019-05-31,1512
"10023652","41-60",58,"retired","married","primary",-96,"yes","yes","june",3,23,1,"auto ",1,1,1,7543,10,30,3,167,2019-06-30,1482
"10023653","31-40",40,"services","divorced","tertiary",-42,"yes","no","july",5,98,1,"unsecured ",1,1,1,4384,10,31,5,315,2019-07-31,1451
"10023654","41-60",54,"management","married","secondary",-46,"no","yes","august",2,10,1,"auto ",1,1,1,4080,10,31,2,140,2019-08-31,1420
"10023655","31-40",34,"blue-collar","single","secondary",-99,"yes","no","september",6,0,1,"unsecured ",1,1,1,4384,10,30,6,346,2019-09-30,1390
"10023656","31-40",31,"management","single","tertiary",-99,"yes","no","october",9,0,1,"auto ",1,1,1,4080,10,31,9,562,2019-10-31,1359
"10023657","41-60",51,"retired","married","secondary",-71,"yes","yes","november",3,20,1,"unsecured ",1,1,1,2127,10,30,3,172,2019-11-30,1329
